Train,Val
8.304102897644043,8.339662551879883
2.3325321674346924,10.136056900024414
0.7444961667060852,12.549485206604004
0.28339099884033203,14.523301124572754
0.17334268987178802,15.323297500610352
0.14119108021259308,15.823932647705078
0.12226301431655884,16.23850440979004
0.11364000290632248,16.643718719482422
0.1095295250415802,16.866727828979492
0.10228286683559418,17.27593994140625
0.10040443390607834,17.59613609313965
0.10008560866117477,17.69769859313965
0.0981232151389122,18.227712631225586
0.08563496917486191,18.376466751098633
0.09171498566865921,18.529285430908203
0.08963218331336975,18.812549591064453
0.08629847317934036,18.983760833740234
0.08823156356811523,19.098339080810547
0.08936295658349991,19.504487991333008
0.08878067135810852,19.87057113647461
0.08042310923337936,20.051132202148438
0.0766160637140274,20.017074584960938
0.07690256834030151,19.988636016845703
0.08506758511066437,20.286941528320312
0.08065477013587952,20.50069808959961
0.0831533819437027,20.807199478149414
0.08187025785446167,21.117958068847656
0.07985053956508636,21.097820281982422
0.07272893935441971,21.292980194091797
0.07405073940753937,21.691083908081055
0.07379554957151413,21.470869064331055
0.07684304565191269,21.534687042236328
0.07599662989377975,21.721769332885742
0.07462009787559509,22.1023006439209
0.07073430716991425,22.149290084838867
0.07019880414009094,22.211793899536133
0.07825233787298203,22.051557540893555
0.0786961019039154,22.512636184692383
0.07249188423156738,22.276866912841797
0.0743550956249237,22.318395614624023
0.07296145707368851,22.757658004760742
0.0731077641248703,22.61288070678711
0.07585833966732025,22.751935958862305
0.07161185890436172,22.655065536499023
0.0700158029794693,22.67137908935547
0.06454654783010483,23.076332092285156
0.06483660638332367,22.977781295776367
0.06592884659767151,22.79363441467285
0.0731402039527893,22.733362197875977
0.07548312842845917,22.177631378173828
0.06816637516021729,23.544879913330078
